fecha,trabajo_realizado,calle,tipo,referencia,barrio,insumos_1,cantidad_1,insumos_2,cantidad_2,insumos_3,cantidad_3,insumos_4,cantidad_4
27/02/25,colocacion de lampara,alfonsin,null,alfonsin y calle publica(cic),null,lamparas 80w,1,null,null,null,null,null,null
27/02/25,trabajo en taller,null,null,taller propio,null,null,null,null,null,null,null,null,null
28/02/25,colocacion de lampara,rafael ruiz,null,rafael ruiz y belgrano,null,lamparas 100w,2,null,null,null,null,null,null
28/02/25,trabajos varios,null,null,taller propio,null,null,null,null,null,null,null,null,null
05/03/25,retiro de insumo,san martin,null,municipalidad,centro,timer comando,2,null,null,null,null,null,null
05/03/25,reconexion,null,null,escuela nueva del 2 de abril,2 de abril,null,null,null,null,null,null,null,null
05/03/25,cambio de timer de comando,san martin,null,san martin y dorrego,null,timer comando,1,null,null,null,null,null,null
05/03/25,colocacion de lampara,20 de junio,null,20 de junio y moreno,independiente,lamparas 100w,1,null,null,null,null,null,null
05/03/25,colocacion de lampara,inmigrantes,null,entre 20 de junio y congreso,independiente,lamparas 100w,1,null,null,null,null,null,null
05/03/25,timer corregido de comando,null,null,emeta,null,null,null,null,null,null,null,null,null
05/03/25,timer corregido de comando,null,null,null,libertad,null,null,null,null,null,null,null,null
06/02/25,conexion de medidor,null,null,escuela nueva del 2 de abril,2 de abril,null,null,null,null,null,null,null,null
06/02/25,colocacion de brazo y lampara,null,null,cruzando la ruta por nicolosi,null,lamparas 100w,1,brazo ,1,null,null,null,null
06/02/25,colocacion de lampara,nestor diaz ,null,nestor diaz y lascano,belgrano,lamparas 100w,1,null,null,null,null,null,null
06/02/25,colocacion de lampara,mendez,null,mendez y lascano (flia ibarra),belgrano,lamparas 100w,1,null,null,null,null,null,null
06/02/25,colocacion de lampara,francisco duran,null,francisco duran y belgrano,belgrano,lamparas 100w,1,null,null,null,null,null,null
06/02/25,colocacion de lampara,nestor diaz ,null,nestor diaz y belgrano,belgrano,lamparas 100w,1,null,null,null,null,null,null
06/02/25,reconexion ,almirante brown,null,frente a panaderia buen gusto,null,null,null,null,null,null,null,null,null
06/02/25,reparacion maquina hormigonera,av.del agro,null,null,null,null,null,null,null,null,null,null,null
06/02/25,reemplazo de cable,null,null,escuela paul harris,null,null,null,null,null,null,null,null,null
06/02/25,bajada de toma corriente,san martin,null,null,centro,null,null,null,null,null,null,null,null
06/02/25,arreglo de ventilador y colocacion de plafon,san martin,null,municipalidad,centro,null,null,null,null,null,null,null,null
