fecha,trabajo_realizado,calle,categoria,referencia,barrio,insumos_1,cantidad_1,fechasarregladas,mes
2024-07-02,armado de jaula antibandalos,desconocido,Trabajos generales / Varios,taller propio,desconocido,no se usaron insumos,0,2024-07-02,2024-07
2024-10-02,retiro de insumos,san martin,Retiro de insumos varios,municipalidad,centro,lampara 100w,10,2024-10-02,2024-10
2024-10-02,reemplazo de cable,desconocido,Trabajos generales / Varios,galpon del ferro,desconocido,lampara 100w,1,2024-10-02,2024-10
2024-10-02,bajada de toma corriente,alfonsin,Bajada de energía,alfonsin y ruta 34,desconocido,no se usaron insumos,0,2024-10-02,2024-10
2024-10-02,colocacion de lampara,chazarreta,Instalaciónes Varias,entre rivadavia y balcarse,desconocido,lampara 100w,1,2024-10-02,2024-10
2024-10-02,colocacion de lampara,chazarreta,Instalaciónes Varias,entre rivadavia y matienzo,desconocido,lampara 100w,1,2024-10-02,2024-10
2024-10-02,colocacion de lampara,colon,Instalaciónes Varias,entre sarmiento y tucuman,desconocido,lampara 100w,1,2024-10-02,2024-10
2024-10-02,colocacion de lampara,corrientes,Instalaciónes Varias,entre chazarreta y almirante brown,desconocido,lampara 100w,1,2024-10-02,2024-10
2024-10-02,colocacion de lampara,mar argentino,Instalaciónes Varias,entre cordoba y corrientes,2 de abril,lampara 100w,2,2024-10-02,2024-10
2024-10-02,timer corregido de comando,desconocido,Cambio de Timer / Programación,lado del caballito,desconocido,no se usaron insumos,0,2024-10-02,2024-10
2024-10-02,timer corregido de comando,desconocido,Cambio de Timer / Programación,en los pinos,los pinos,no se usaron insumos,0,2024-10-02,2024-10
2024-10-02,timer corregido de comando,cordoba,Cambio de Timer / Programación,cordoba y 25 de mayo,desconocido,no se usaron insumos,0,2024-10-02,2024-10
2024-10-02,cambio de fotocelula en comando,desconocido,Reemplazo de insumos electricos,desconocido,belgrano,fotocelula,1,2024-10-02,2024-10
2025-04-21,retiro de insumo,san martin,Retiro de insumos varios,municipalidad,centro,lamparas,10,2025-04-21,2025-04
2025-04-21,cambio de tomacorriente,av del agro,Reemplazo de insumos electricos,av del agro,desconocido,toma corriente,0,2025-04-21,2025-04
2025-04-21,colocacion de fotocelula y cable,los castillos,Instalaciónes Varias,cementerio,desconocido,fotocelula con base,1,2025-04-21,2025-04
2025-04-21,bajada a tierra,av san martín ,Bajada de energía,bajada a tierra de tomas para albañiles,desconocido,no se usaron insumos,0,2025-04-21,2025-04
2025-04-21,reacomodo de poste y colocacion de antibandalos,desconocido,Instalaciónes Varias,casa de tuta,malvinas,antibandalo,1,2025-04-21,2025-04
2025-04-21,colocacion de lampara,rivadavia,Instalaciónes Varias,rivadavia y colón,desconocido,lampara 80w,1,2025-04-21,2025-04
2025-04-21,colocacion de lampara,remedios de escalada,Instalaciónes Varias,9 de julio y remedios de escalada,desconocido,lampara 80w,1,2025-04-21,2025-04
2025-04-21,cambio de horario de un timer,desconocido,Reemplazo de insumos electricos,ninguna,desconocido,no se usaron insumos,0,2025-04-21,2025-04
2025-04-21,cambio de faroles modificados,av alfonsín,Reemplazo de insumos electricos,ninguna,desconocido,lampara 40w,4,2025-04-21,2025-04
2025-04-21,trabajo en taller,desconocido,Trabajos generales / Varios,taller,desconocido,no se usaron insumos,0,2025-04-21,2025-04
2025-04-22,colocacion de lampara,villa elisa,Instalaciónes Varias,hipolito irigoyen y matienzo,desconocido,lampara 80w,1,2025-04-22,2025-04
2025-04-22,colocacion de lampara,heroes de malvinas,Instalaciónes Varias,ninguna,desconocido,lampara 80w,1,2025-04-22,2025-04
2025-04-22,colocacion de lampara,alfonsin,Instalaciónes Varias,alfonsin y almirante brown,desconocido,lampara 80w,1,2025-04-22,2025-04
2025-04-22,colocacion de lampara,almirante brown,Instalaciónes Varias,almirante brown y cordoba,desconocido,lampara 80w,1,2025-04-22,2025-04
